Title,Url Id,Full Url,Categories,Tags,Image,Publish On
"Batsford Arboretum Autumn Photography Workshop - 31/10","batsford-arboretum-autumn-photography-3nov",https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-3nov,"1-day;2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675347700488-3E0I5HD2RWPTEA20AQ1D/Autumn+Leaves.jpg","2023-11-08"
"Batsford Arboretum Autumn Photography Workshop - 30/10","batsford-arboretum-autumn-photography-2nov",https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-2nov,"1-day;2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675347700488-3E0I5HD2RWPTEA20AQ1D/Autumn+Leaves.jpg","2023-11-08"
"Batsford Arboretum Autumn Photography Workshop -29/10","batsford-arboretum-autumn-photography-1nov",https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-1nov,"1-day;2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675347700488-3E0I5HD2RWPTEA20AQ1D/Autumn+Leaves.jpg","2024-11-05"
"Batsford Arboretum Autumn Photography Workshop - 26/10","batsford-arboretum-autumn-photography-31oct",https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-31oct,"1-day;2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675347700488-3E0I5HD2RWPTEA20AQ1D/Autumn+Leaves.jpg","2023-11-08"
"Batsford Arboretum Autumn Photography Workshop - 25/10","batsford-arboretum-autumn-photography-30oct",https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-30oct,"1-day;2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675347700488-3E0I5HD2RWPTEA20AQ1D/Autumn+Leaves.jpg","2023-11-08"
"Batsford Arboretum Autumn Photography Workshop - 24/10","batsford-arboretum-autumn-photography-29oct",https://www.alanranger.com/photographic-workshops-near-me/batsford-arboretum-autumn-photography-29oct,"1-day;2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1675347700488-3E0I5HD2RWPTEA20AQ1D/Autumn+Leaves.jpg","2024-11-05"
"The Secrets of Woodland Photography - 1-Day Masterclass Oct","secrets-of-woodland-photography-masterclass-autumn",https://www.alanranger.com/photographic-workshops-near-me/secrets-of-woodland-photography-masterclass-autumn,"1-day","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1687442036373-6Q6GKKLKEX4UZ00OFCMU/Plant%2BHill%2BWoods%2B%252311%2B-%2BJan%2B2022.jpg","2024-04-30"
"Peak District Photography Workshops Padley Gorge | 10-18","peak-district-photography-workshops-winter",https://www.alanranger.com/photographic-workshops-near-me/peak-district-photography-workshops-winter,"1-day","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1714559760976-6CZKC2X0XATXWIR0Q0X6/Peak+District+Photography+workshops.jpg","2024-05-01"
"Woodland Photography Walk | Coventry | Piles Coppice","woodland-photography-walk-coventry-piles-coppice",https://www.alanranger.com/photographic-workshops-near-me/woodland-photography-walk-coventry-piles-coppice,"2.5hrs-4hrs","","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1709978483227-AGNBKSFNJEJ0VP2ERGWQ/Down+Under.jpg","2024-04-29"
"Fairy Glen Betws-y-Coed Photography Workshops - Wales - Oct","fairy-glen-photography-wales",https://www.alanranger.com/photographic-workshops-near-me/fairy-glen-photography-wales,"2.5hrs-4hrs","wales","https://images.squarespace-cdn.com/content/v1/5013f4b2c4aaa4752ac69b17/1740502341422-AGUUE085W47A3L7137NG/Fairy+Glen+4.jpg","2025-02-25"
